ticker,date,period_ending,estimate,reported,surprise,surprise%
EFX,2021-04-21,2021-03,1.52,1.97,0.45,29.61
MDU,2021-05-05,2021-03,0.2,0.26,0.06,30
SNV,2021-04-20,2021-03,0.93,1.21,0.28,30.11
WAL,2021-04-15,2021-03,1.46,1.9,0.44,30.14
SAIC,2021-06-03,2021-04,1.49,1.94,0.45,30.2
CINF,2021-04-28,2021-03,1.05,1.37,0.32,30.48
FBHS,2021-04-29,2021-03,1.04,1.36,0.32,30.77
XRAY,2021-05-06,2021-03,0.55,0.72,0.17,30.91
EHC,2021-04-27,2021-03,0.8,1.05,0.25,31.25
RF,2021-04-23,2021-03,0.48,0.63,0.15,31.25
ARMK,2021-05-11,2021-03,-0.35,-0.24,0.11,31.43
BWA,2021-05-05,2021-03,0.92,1.21,0.29,31.52
CCK,2021-04-19,2021-03,1.39,1.83,0.44,31.65
YUMC,2021-04-27,2021-03,0.41,0.54,0.13,31.71
ORLY,2021-04-28,2021-03,5.36,7.06,1.7,31.72
ANSS,2021-05-05,2021-03,0.85,1.12,0.27,31.76
DG,2021-05-27,2021-04,2.14,2.82,0.68,31.78
CHRW,2021-04-27,2021-03,0.97,1.28,0.31,31.96
AVT,2021-04-28,2021-03,0.56,0.74,0.18,32.14
BAC,2021-04-15,2021-03,0.65,0.86,0.21,32.31
PNR,2021-04-22,2021-03,0.61,0.81,0.2,32.79
GME,2021-06-09,2021-04,-0.67,-0.45,0.22,32.84
FANG,2021-05-03,2021-03,1.73,2.3,0.57,32.95
BX,2021-04-22,2021-03,0.72,0.96,0.24,33.33
FIVE,2021-06-03,2021-04,0.66,0.88,0.22,33.33
GWRE,2021-06-02,2021-04,-0.24,-0.16,0.08,33.33
LYFT,2021-05-04,2021-03,-0.54,-0.36,0.18,33.33
PCTY,2021-05-06,2021-03,0.66,0.88,0.22,33.33
JBL,2021-03-16,2021-02,0.95,1.27,0.32,33.68
WHR,2021-04-21,2021-03,5.38,7.2,1.82,33.83
