ticker,date,period_ending,estimate,reported,surprise,surprise%
DRE,2021-04-28,2021-03,0.39,0.21,-0.18,-46.15
REXR,2021-04-21,2021-03,0.34,0.19,-0.15,-44.12
STNE,2021-06-01,2021-03,0.16,0.09,-0.07,-43.75
DV,2021-05-25,2021-03,0.07,0.04,-0.03,-42.86
FRT,2021-05-05,2021-03,1.02,0.6,-0.42,-41.18
PLNT,2021-05-06,2021-03,0.17,0.1,-0.07,-41.18
SABR,2021-05-04,2021-03,-0.51,-0.72,-0.21,-41.18
HIW,2021-04-27,2021-03,0.87,0.52,-0.35,-40.23
ELS,2021-04-19,2021-03,0.6,0.36,-0.24,-40
SPG,2021-05-10,2021-03,2.25,1.36,-0.89,-39.56
WMS,2021-05-20,2021-03,0.38,0.23,-0.15,-39.47
LBRDK,2021-05-07,2021-03,1.37,0.83,-0.54,-39.42
EQIX,2021-04-28,2021-03,6.63,4.07,-2.56,-38.61
LSI,2021-05-04,2021-03,1.01,0.63,-0.38,-37.62
AMT,2021-04-29,2021-03,2.32,1.45,-0.87,-37.5
REG,2021-05-06,2021-03,0.75,0.47,-0.28,-37.33
MPW,2021-04-29,2021-03,0.42,0.27,-0.15,-35.71
GLPI,2021-04-29,2021-03,0.83,0.54,-0.29,-34.94
EEFT,2021-04-28,2021-03,0.35,0.23,-0.12,-34.29
IONS,2021-05-05,2021-03,-0.48,-0.64,-0.16,-33.33
SPR,2021-05-05,2021-03,-0.93,-1.22,-0.29,-31.18
BA,2021-04-28,2021-03,-1.17,-1.53,-0.36,-30.77
AL,2021-05-06,2021-03,1.01,0.7,-0.31,-30.69
NBIX,2021-05-05,2021-03,0.47,0.33,-0.14,-29.79
SPLK,2021-06-02,2021-04,-0.72,-0.91,-0.19,-26.39
OSH,2021-05-10,2021-03,-0.23,-0.29,-0.06,-26.09
UHAL,2021-05-26,2021-03,5.07,3.76,-1.31,-25.84
TRIP,2021-05-06,2021-03,-0.31,-0.39,-0.08,-25.81
MRTX,2021-05-06,2021-03,-2.13,-2.67,-0.54,-25.35
HIG,2021-04-22,2021-03,0.75,0.56,-0.19,-25.33
ASH,2021-04-28,2021-03,1.36,1.05,-0.31,-22.79
CZR,2021-05-04,2021-03,-1.69,-2.06,-0.37,-21.89
NOV,2021-04-27,2021-03,-0.23,-0.28,-0.05,-21.74
JWN,2021-05-25,2021-04,-0.53,-0.64,-0.11,-20.75
WYNN,2021-05-10,2021-03,-2,-2.41,-0.41,-20.5
ESS,2021-04-27,2021-03,3.04,2.43,-0.61,-20.07
PSA,2021-04-28,2021-03,2.7,2.21,-0.49,-18.15
PCG,2021-04-29,2021-03,0.28,0.23,-0.05,-17.86
HFC,2021-05-05,2021-03,-0.45,-0.53,-0.08,-17.78
OHI,2021-05-03,2021-03,0.82,0.69,-0.13,-15.85
DAL,2021-04-15,2021-03,-3.08,-3.55,-0.47,-15.26
NVAX,2021-05-10,2021-03,-2.65,-3.05,-0.4,-15.09
MRK,2021-04-29,2021-03,1.63,1.4,-0.23,-14.11
CPB,2021-06-09,2021-04,0.66,0.57,-0.09,-13.64
SGEN,2021-04-29,2021-03,-0.59,-0.67,-0.08,-13.56
WRK,2021-05-05,2021-03,0.62,0.54,-0.08,-12.9
AWI,2021-04-27,2021-03,0.96,0.84,-0.12,-12.5
LLY,2021-04-27,2021-03,2.12,1.87,-0.25,-11.79
LW,2021-04-07,2021-02,0.51,0.45,-0.06,-11.76
COST,2021-03-04,2021-02,2.42,2.14,-0.28,-11.57
PLAN,2021-05-27,2021-04,-0.09,-0.1,-0.01,-11.11
ZNGA,2021-05-05,2021-03,0.09,0.08,-0.01,-11.11
MKL,2021-04-28,2021-03,11.37,10.12,-1.25,-10.99
PRGO,2021-05-11,2021-03,0.56,0.5,-0.06,-10.71
QDEL,2021-05-06,2021-03,4.87,4.38,-0.49,-10.06
VFC,2021-05-21,2021-03,0.3,0.27,-0.03,-10
ARES,2021-04-29,2021-03,0.51,0.46,-0.05,-9.8
CHGG,2021-05-03,2021-03,0.31,0.28,-0.03,-9.68
CHH,2021-05-10,2021-03,0.63,0.57,-0.06,-9.52
AZPN,2021-04-28,2021-03,1.16,1.05,-0.11,-9.48
STE,2021-05-18,2021-03,1.8,1.63,-0.17,-9.44
FSLY,2021-05-05,2021-03,-0.11,-0.12,-0.01,-9.09
EQH,2021-05-05,2021-03,1.23,1.13,-0.1,-8.13
GPK,2021-04-27,2021-03,0.25,0.23,-0.02,-8
CCL,2021-04-07,2021-02,-1.66,-1.79,-0.13,-7.83
UAL,2021-04-19,2021-03,-6.97,-7.5,-0.53,-7.6
AMGN,2021-04-27,2021-03,4,3.7,-0.3,-7.5
AES,2021-05-06,2021-03,0.3,0.28,-0.02,-6.67
AEP,2021-04-22,2021-03,1.23,1.15,-0.08,-6.5
IOVA,2021-05-06,2021-03,-0.48,-0.51,-0.03,-6.25
GNTX,2021-04-23,2021-03,0.49,0.46,-0.03,-6.12
DLR,2021-04-29,2021-03,1.59,1.5,-0.09,-5.66
CHTR,2021-04-30,2021-03,4.34,4.11,-0.23,-5.3
KMB,2021-04-23,2021-03,1.9,1.8,-0.1,-5.26
VOYA,2021-05-10,2021-03,1.08,1.03,-0.05,-4.63
AM,2021-04-28,2021-03,0.22,0.21,-0.01,-4.55
KSU,2021-04-16,2021-03,2,1.91,-0.09,-4.5
SRPT,2021-05-05,2021-03,-2.01,-2.1,-0.09,-4.48
CRUS,2021-04-29,2021-03,0.69,0.66,-0.03,-4.35
FHB,2021-04-23,2021-03,0.46,0.44,-0.02,-4.35
XRX,2021-04-20,2021-03,0.23,0.22,-0.01,-4.35
PGR,2021-04-15,2021-03,1.78,1.72,-0.06,-3.37
BMY,2021-04-29,2021-03,1.8,1.74,-0.06,-3.33
MNST,2021-05-06,2021-03,0.61,0.59,-0.02,-3.28
CAH,2021-05-06,2021-03,1.58,1.53,-0.05,-3.16
CSX,2021-04-20,2021-03,0.32,0.31,-0.01,-3.13
UNP,2021-04-22,2021-03,2.06,2,-0.06,-2.91
ENTG,2021-04-27,2021-03,0.72,0.7,-0.02,-2.78
SYK,2021-04-27,2021-03,1.98,1.93,-0.05,-2.53
GIS,2021-03-24,2021-02,0.84,0.82,-0.02,-2.38
APD,2021-05-10,2021-03,2.13,2.08,-0.05,-2.35
WU,2021-05-04,2021-03,0.45,0.44,-0.01,-2.22
RKT,2021-05-05,2021-03,0.91,0.89,-0.02,-2.2
CVX,2021-04-30,2021-03,0.92,0.9,-0.02,-2.17
WY,2021-04-30,2021-03,0.93,0.91,-0.02,-2.15
STWD,2021-05-06,2021-03,0.51,0.5,-0.01,-1.96
VRSK,2021-05-04,2021-03,1.25,1.23,-0.02,-1.6
LITE,2021-05-12,2021-03,1.42,1.4,-0.02,-1.41
NEM,2021-04-29,2021-03,0.75,0.74,-0.01,-1.33
NUE,2021-04-22,2021-03,3.14,3.1,-0.04,-1.27
ECL,2021-04-27,2021-03,0.82,0.81,-0.01,-1.22
CNC,2021-04-27,2021-03,1.65,1.63,-0.02,-1.21
HOLX,2021-04-28,2021-03,2.62,2.59,-0.03,-1.15
SEIC,2021-04-21,2021-03,0.9,0.89,-0.01,-1.11
EA,2021-05-11,2021-03,1.04,1.03,-0.01,-0.96
DOX,2021-05-12,2021-03,1.14,1.13,-0.01,-0.88
ABT,2021-04-20,2021-03,1.33,1.32,-0.01,-0.75
FDS,2021-03-30,2021-02,2.74,2.72,-0.02,-0.73
MKTX,2021-04-22,2021-03,2.12,2.11,-0.01,-0.47
DGX,2021-04-22,2021-03,3.77,3.76,-0.01,-0.27
AGL,2021-05-26,2021-03,-0.04,-0.04,0,0
AWK,2021-05-03,2021-03,0.73,0.73,0,0
CDAY,2021-05-05,2021-03,0.09,0.09,0,0
CL,2021-04-30,2021-03,0.8,0.8,0,0
CTXS,2021-04-29,2021-03,1.42,1.42,0,0
ERIE,2021-04-29,2021-03,1.41,1.41,0,0
FAST,2021-04-13,2021-03,0.37,0.37,0,0
FCX,2021-04-22,2021-03,0.51,0.51,0,0
HRL,2021-05-20,2021-04,0.42,0.42,0,0
KIM,2021-04-29,2021-03,0.3,0.3,0,0
MTG,2021-05-05,2021-03,0.42,0.42,0,0
NET,2021-05-06,2021-03,-0.03,-0.03,0,0
NI,2021-05-05,2021-03,0.77,0.77,0,0
NRZ,2021-05-05,2021-03,0.34,0.34,0,0
REYN,2021-05-05,2021-03,0.36,0.36,0,0
RYN,2021-05-05,2021-03,0.08,0.08,0,0
TW,2021-04-29,2021-03,0.43,0.43,0,0
AMG,2021-05-03,2021-03,4.26,4.28,0.02,0.47
INTU,2021-05-25,2021-04,6.04,6.07,0.03,0.5
MCK,2021-05-06,2021-03,5.02,5.05,0.03,0.6
FMC,2021-05-05,2021-03,1.52,1.53,0.01,0.66
AAL,2021-04-22,2021-03,-4.35,-4.32,0.03,0.69
MTN,2021-06-07,2021-04,6.67,6.72,0.05,0.75
ABC,2021-05-05,2021-03,2.51,2.53,0.02,0.8
CPA,2021-05-05,2021-03,-2.25,-2.23,0.02,0.89
D,2021-05-04,2021-03,1.08,1.09,0.01,0.93
GILD,2021-04-29,2021-03,2.06,2.08,0.02,0.97
HRB,2021-06-15,2021-04,5.11,5.16,0.05,0.98
CNA,2021-05-03,2021-03,0.95,0.96,0.01,1.05
MSA,2021-04-28,2021-03,0.94,0.95,0.01,1.06
VMW,2021-05-27,2021-04,1.74,1.76,0.02,1.15
CSCO,2021-05-19,2021-04,0.82,0.83,0.01,1.22
SWKS,2021-04-29,2021-03,2.34,2.37,0.03,1.28
INFO,2021-03-23,2021-02,0.7,0.71,0.01,1.43
NCLH,2021-05-06,2021-03,-2.06,-2.03,0.03,1.46
CDK,2021-05-06,2021-03,0.68,0.69,0.01,1.47
FE,2021-04-22,2021-03,0.68,0.69,0.01,1.47
LNT,2021-05-06,2021-03,0.67,0.68,0.01,1.49
VZ,2021-04-21,2021-03,1.29,1.31,0.02,1.55
MRCY,2021-05-04,2021-03,0.63,0.64,0.01,1.59
DUK,2021-05-10,2021-03,1.24,1.26,0.02,1.61
BLK,2021-04-15,2021-03,7.64,7.77,0.13,1.7
CAG,2021-04-08,2021-02,0.58,0.59,0.01,1.72
EBAY,2021-04-28,2021-03,1.07,1.09,0.02,1.87
MSM,2021-04-07,2021-02,1.01,1.03,0.02,1.98
DPZ,2021-04-29,2021-03,2.94,3,0.06,2.04
NVR,2021-04-21,2021-03,61.9,63.21,1.31,2.12
ANTM,2021-04-21,2021-03,6.86,7.01,0.15,2.19
RCL,2021-04-29,2021-03,-4.54,-4.44,0.1,2.2
MASI,2021-04-26,2021-03,0.88,0.9,0.02,2.27
ALNY,2021-04-29,2021-03,-1.75,-1.71,0.04,2.29
CME,2021-04-28,2021-03,1.75,1.79,0.04,2.29
LAZ,2021-04-30,2021-03,0.85,0.87,0.02,2.35
SMG,2021-05-05,2021-03,5.51,5.64,0.13,2.36
TDG,2021-05-11,2021-03,2.52,2.58,0.06,2.38
KMX,2021-04-01,2021-02,1.24,1.27,0.03,2.42
SCHW,2021-04-15,2021-03,0.82,0.84,0.02,2.44
GLOB,2021-05-13,2021-03,0.81,0.83,0.02,2.47
PRI,2021-05-05,2021-03,2.38,2.44,0.06,2.52
EXR,2021-04-28,2021-03,1.49,1.53,0.04,2.68
CERN,2021-05-05,2021-03,0.74,0.76,0.02,2.7
AVGO,2021-06-03,2021-04,6.44,6.62,0.18,2.8
BWXT,2021-05-03,2021-03,0.71,0.73,0.02,2.82
GPN,2021-05-04,2021-03,1.77,1.82,0.05,2.82
CB,2021-04-27,2021-03,2.45,2.52,0.07,2.86
MO,2021-04-29,2021-03,1.04,1.07,0.03,2.88
ON,2021-05-03,2021-03,0.34,0.35,0.01,2.94
HUBB,2021-04-27,2021-03,1.67,1.72,0.05,2.99
LOPE,2021-05-05,2021-03,1.67,1.72,0.05,2.99
ICE,2021-04-29,2021-03,1.3,1.34,0.04,3.08
INCY,2021-05-04,2021-03,0.65,0.67,0.02,3.08
RPRX,2021-05-11,2021-03,0.65,0.67,0.02,3.08
TROW,2021-04-29,2021-03,2.92,3.01,0.09,3.08
VRSN,2021-04-22,2021-03,1.29,1.33,0.04,3.1
GTES,2021-05-10,2021-03,0.32,0.33,0.01,3.13
MU,2021-03-31,2021-02,0.95,0.98,0.03,3.16
CTSH,2021-05-05,2021-03,0.94,0.97,0.03,3.19
NATI,2021-04-29,2021-03,0.31,0.32,0.01,3.23
PAYX,2021-04-06,2021-02,0.93,0.96,0.03,3.23
CMS,2021-04-29,2021-03,1.17,1.21,0.04,3.42
HHC,2021-05-10,2021-03,-0.57,-0.55,0.02,3.51
PAYC,2021-05-04,2021-03,1.42,1.47,0.05,3.52
FISV,2021-04-27,2021-03,1.13,1.17,0.04,3.54
AXP,2021-04-23,2021-03,1.68,1.74,0.06,3.57
RGLD,2021-05-05,2021-03,0.81,0.84,0.03,3.7
CHD,2021-04-29,2021-03,0.8,0.83,0.03,3.75
LMT,2021-04-20,2021-03,6.32,6.56,0.24,3.8
ADP,2021-04-28,2021-03,1.82,1.89,0.07,3.85
GWW,2021-04-30,2021-03,4.31,4.48,0.17,3.94
EIX,2021-04-27,2021-03,0.76,0.79,0.03,3.95
FIS,2021-05-06,2021-03,1.25,1.3,0.05,4
HEI,2021-05-25,2021-04,0.49,0.51,0.02,4.08
NSC,2021-04-28,2021-03,2.55,2.66,0.11,4.31
FR,2021-04-21,2021-03,0.46,0.48,0.02,4.35
PB,2021-04-28,2021-03,1.38,1.44,0.06,4.35
CC,2021-05-03,2021-03,0.68,0.71,0.03,4.41
ACHC,2021-04-29,2021-03,0.45,0.47,0.02,4.44
FLT,2021-05-05,2021-03,2.7,2.82,0.12,4.44
NTAP,2021-06-02,2021-04,1.12,1.17,0.05,4.46
HPQ,2021-05-27,2021-04,0.89,0.93,0.04,4.49
ORCL,2021-03-10,2021-02,1.11,1.16,0.05,4.5
NXPI,2021-04-26,2021-03,2.21,2.31,0.1,4.52
ES,2021-05-10,2021-03,1.1,1.15,0.05,4.55
GO,2021-05-11,2021-03,0.22,0.23,0.01,4.55
FFIV,2021-04-27,2021-03,2.39,2.5,0.11,4.6
BLD,2021-05-06,2021-03,1.93,2.02,0.09,4.66
WAB,2021-04-29,2021-03,0.85,0.89,0.04,4.71
QGEN,2021-05-03,2021-03,0.63,0.66,0.03,4.76
TTC,2021-06-03,2021-04,1.23,1.29,0.06,4.88
AME,2021-05-04,2021-03,1.02,1.07,0.05,4.9
BDX,2021-05-06,2021-03,3.04,3.19,0.15,4.93
EMN,2021-04-29,2021-03,2.03,2.13,0.1,4.93
FTV,2021-04-29,2021-03,0.6,0.63,0.03,5
ANET,2021-05-04,2021-03,2.38,2.5,0.12,5.04
ED,2021-05-06,2021-03,1.36,1.43,0.07,5.15
ALK,2021-04-22,2021-03,-3.71,-3.51,0.2,5.39
BR,2021-05-04,2021-03,1.67,1.76,0.09,5.39
LUV,2021-04-22,2021-03,-1.82,-1.72,0.1,5.49
BIIB,2021-04-22,2021-03,5.06,5.34,0.28,5.53
NKTR,2021-05-06,2021-03,-0.72,-0.68,0.04,5.56
MDT,2021-05-27,2021-04,1.42,1.5,0.08,5.63
SLGN,2021-04-28,2021-03,0.71,0.75,0.04,5.63
CHE,2021-04-27,2021-03,4.2,4.44,0.24,5.71
DXC,2021-05-26,2021-03,0.7,0.74,0.04,5.71
ICUI,2021-05-06,2021-03,1.53,1.62,0.09,5.88
SON,2021-04-22,2021-03,0.85,0.9,0.05,5.88
AON,2021-04-30,2021-03,4.04,4.28,0.24,5.94
IFF,2021-05-10,2021-03,1.51,1.6,0.09,5.96
IBM,2021-04-19,2021-03,1.67,1.77,0.1,5.99
WM,2021-04-27,2021-03,1,1.06,0.06,6
AIG,2021-05-06,2021-03,0.99,1.05,0.06,6.06
CLF,2021-04-22,2021-03,0.33,0.35,0.02,6.06
STLD,2021-04-19,2021-03,1.98,2.1,0.12,6.06
HSY,2021-04-29,2021-03,1.81,1.92,0.11,6.08
MCD,2021-04-29,2021-03,1.81,1.92,0.11,6.08
JCI,2021-04-30,2021-03,0.49,0.52,0.03,6.12
UNM,2021-05-05,2021-03,0.98,1.04,0.06,6.12
AKAM,2021-05-04,2021-03,1.3,1.38,0.08,6.15
ADI,2021-05-19,2021-04,1.45,1.54,0.09,6.21
JAZZ,2021-05-04,2021-03,3.69,3.92,0.23,6.23
PCAR,2021-04-27,2021-03,1.27,1.35,0.08,6.3
ACM,2021-05-10,2021-03,0.63,0.67,0.04,6.35
HUM,2021-04-28,2021-03,7.21,7.67,0.46,6.38
VICI,2021-04-29,2021-03,0.47,0.5,0.03,6.38
DXCM,2021-04-29,2021-03,0.31,0.33,0.02,6.45
KDP,2021-04-29,2021-03,0.31,0.33,0.02,6.45
ABBV,2021-04-30,2021-03,2.77,2.95,0.18,6.5
KMPR,2021-04-29,2021-03,1.23,1.31,0.08,6.5
SRE,2021-05-05,2021-03,2.77,2.95,0.18,6.5
RMD,2021-04-29,2021-03,1.22,1.3,0.08,6.56
HON,2021-04-23,2021-03,1.8,1.92,0.12,6.67
TER,2021-04-27,2021-03,1.04,1.11,0.07,6.73
BEN,2021-05-04,2021-03,0.74,0.79,0.05,6.76
SYNH,2021-04-29,2021-03,0.74,0.79,0.05,6.76
PG,2021-04-20,2021-03,1.18,1.26,0.08,6.78
ACN,2021-03-18,2021-02,1.9,2.03,0.13,6.84
HUBS,2021-05-05,2021-03,0.29,0.31,0.02,6.9
MCHP,2021-05-06,2021-03,0.87,0.93,0.06,6.9
SNDR,2021-04-29,2021-03,0.29,0.31,0.02,6.9
CI,2021-05-07,2021-03,4.42,4.73,0.31,7.01
IEX,2021-04-27,2021-03,1.41,1.51,0.1,7.09
AOS,2021-04-29,2021-03,0.56,0.6,0.04,7.14
DT,2021-05-12,2021-03,0.14,0.15,0.01,7.14
GLW,2021-04-27,2021-03,0.42,0.45,0.03,7.14
MCY,2021-05-04,2021-03,1.25,1.34,0.09,7.2
IDA,2021-04-29,2021-03,0.83,0.89,0.06,7.23
XLRN,2021-05-06,2021-03,-0.83,-0.77,0.06,7.23
CTAS,2021-03-17,2021-02,2.21,2.37,0.16,7.24
KLAC,2021-04-29,2021-03,3.59,3.85,0.26,7.24
SSNC,2021-04-26,2021-03,1.1,1.18,0.08,7.27
GD,2021-04-28,2021-03,2.31,2.48,0.17,7.36
CG,2021-04-29,2021-03,0.54,0.58,0.04,7.41
LVS,2021-04-21,2021-03,-0.27,-0.25,0.02,7.41
MRVL,2021-06-07,2021-04,0.27,0.29,0.02,7.41
NYCB,2021-04-26,2021-03,0.27,0.29,0.02,7.41
MSCI,2021-04-27,2021-03,2.29,2.46,0.17,7.42
BLL,2021-05-06,2021-03,0.67,0.72,0.05,7.46
KEYS,2021-05-19,2021-04,1.34,1.44,0.1,7.46
PHM,2021-04-27,2021-03,1.19,1.28,0.09,7.56
VRTX,2021-04-29,2021-03,2.77,2.98,0.21,7.58
ODFL,2021-04-22,2021-03,1.58,1.7,0.12,7.59
AMED,2021-04-28,2021-03,1.43,1.54,0.11,7.69
FNB,2021-04-19,2021-03,0.26,0.28,0.02,7.69
EPAM,2021-05-06,2021-03,1.68,1.81,0.13,7.74
TMO,2021-04-29,2021-03,6.69,7.21,0.52,7.77
EMR,2021-05-05,2021-03,0.9,0.97,0.07,7.78
PANW,2021-05-20,2021-04,1.28,1.38,0.1,7.81
CTLT,2021-05-04,2021-03,0.76,0.82,0.06,7.89
AMAT,2021-05-20,2021-04,1.51,1.63,0.12,7.95
RNG,2021-05-04,2021-03,0.25,0.27,0.02,8
PEP,2021-04-15,2021-03,1.12,1.21,0.09,8.04
FDX,2021-03-18,2021-02,3.21,3.47,0.26,8.1
RSG,2021-05-05,2021-03,0.86,0.93,0.07,8.14
SPGI,2021-04-29,2021-03,3.13,3.39,0.26,8.31
COO,2021-06-03,2021-04,3.12,3.38,0.26,8.33
ROP,2021-04-27,2021-03,3.32,3.6,0.28,8.43
AAP,2021-06-02,2021-03,3.08,3.34,0.26,8.44
NCR,2021-04-27,2021-03,0.47,0.51,0.04,8.51
BAH,2021-05-21,2021-03,0.82,0.89,0.07,8.54
ZBRA,2021-05-04,2021-03,4.41,4.79,0.38,8.62
PBCT,2021-04-22,2021-03,0.34,0.37,0.03,8.82
OKE,2021-04-27,2021-03,0.79,0.86,0.07,8.86
IBKR,2021-04-20,2021-03,0.9,0.98,0.08,8.89
UMPQ,2021-04-21,2021-03,0.45,0.49,0.04,8.89
CMG,2021-04-21,2021-03,4.92,5.36,0.44,8.94
LPX,2021-05-04,2021-03,2.76,3.01,0.25,9.06
BKR,2021-04-21,2021-03,0.11,0.12,0.01,9.09
TYL,2021-04-28,2021-03,1.31,1.43,0.12,9.16
XLNX,2021-05-04,2021-03,0.75,0.82,0.07,9.33
IPGP,2021-05-04,2021-03,1.07,1.17,0.1,9.35
BOKF,2021-04-21,2021-03,1.92,2.1,0.18,9.38
VLO,2021-04-22,2021-03,-1.91,-1.73,0.18,9.42
FTNT,2021-04-29,2021-03,0.74,0.81,0.07,9.46
CABO,2021-05-06,2021-03,10.22,11.19,0.97,9.49
DNB,2021-05-05,2021-03,0.21,0.23,0.02,9.52
HPE,2021-06-01,2021-04,0.42,0.46,0.04,9.52
V,2021-04-27,2021-03,1.26,1.38,0.12,9.52
WEC,2021-05-03,2021-03,1.47,1.61,0.14,9.52
ADSK,2021-05-27,2021-04,0.94,1.03,0.09,9.57
PH,2021-04-29,2021-03,3.75,4.11,0.36,9.6
JHG,2021-04-29,2021-03,0.83,0.91,0.08,9.64
IVZ,2021-04-27,2021-03,0.62,0.68,0.06,9.68
STT,2021-04-16,2021-03,1.34,1.47,0.13,9.7
MPWR,2021-05-04,2021-03,1.33,1.46,0.13,9.77
BKI,2021-05-06,2021-03,0.51,0.56,0.05,9.8
MIDD,2021-05-06,2021-03,1.63,1.79,0.16,9.82
NFG,2021-05-06,2021-03,1.22,1.34,0.12,9.84
XEL,2021-04-29,2021-03,0.61,0.67,0.06,9.84
SEE,2021-05-04,2021-03,0.71,0.78,0.07,9.86
KO,2021-04-19,2021-03,0.5,0.55,0.05,10
SYY,2021-05-04,2021-03,0.2,0.22,0.02,10
CBOE,2021-04-30,2021-03,1.39,1.53,0.14,10.07
XOM,2021-04-30,2021-03,0.59,0.65,0.06,10.17
CLX,2021-04-30,2021-03,1.47,1.62,0.15,10.2
AJG,2021-04-29,2021-03,1.83,2.02,0.19,10.38
JKHY,2021-05-03,2021-03,0.86,0.95,0.09,10.47
SLB,2021-04-23,2021-03,0.19,0.21,0.02,10.53
TREX,2021-05-10,2021-03,0.38,0.42,0.04,10.53
APH,2021-04-28,2021-03,0.47,0.52,0.05,10.64
MSFT,2021-04-27,2021-03,1.76,1.95,0.19,10.8
FLO,2021-05-20,2021-03,0.37,0.41,0.04,10.81
FICO,2021-05-05,2021-03,2.76,3.06,0.3,10.87
STL,2021-04-19,2021-03,0.46,0.51,0.05,10.87
ITW,2021-04-30,2021-03,1.9,2.11,0.21,11.05
EQT,2021-05-05,2021-03,0.27,0.3,0.03,11.11
FTDR,2021-05-06,2021-03,0.09,0.1,0.01,11.11
RS,2021-04-22,2021-03,3.69,4.1,0.41,11.11
SNX,2021-03-22,2021-02,1.7,1.89,0.19,11.18
SCCO,2021-04-28,2021-03,0.89,0.99,0.1,11.24
TDC,2021-05-06,2021-03,0.62,0.69,0.07,11.29
URI,2021-04-28,2021-03,3.1,3.45,0.35,11.29
CGNX,2021-05-06,2021-03,0.35,0.39,0.04,11.43
BK,2021-04-16,2021-03,0.87,0.97,0.1,11.49
NLY,2021-04-28,2021-03,0.26,0.29,0.03,11.54
MDLZ,2021-04-27,2021-03,0.69,0.77,0.08,11.59
WLTW,2021-04-29,2021-03,3.26,3.64,0.38,11.66
NEE,2021-04-21,2021-03,0.6,0.67,0.07,11.67
T,2021-04-22,2021-03,0.77,0.86,0.09,11.69
HAL,2021-04-21,2021-03,0.17,0.19,0.02,11.76
RPM,2021-04-07,2021-02,0.34,0.38,0.04,11.76
TPL,2021-05-06,2021-03,5.77,6.45,0.68,11.79
SNPS,2021-05-19,2021-04,1.52,1.7,0.18,11.84
APO,2021-05-04,2021-03,0.59,0.66,0.07,11.86
HUN,2021-04-30,2021-03,0.59,0.66,0.07,11.86
WEX,2021-04-29,2021-03,1.6,1.79,0.19,11.88
TRV,2021-04-20,2021-03,2.44,2.73,0.29,11.89
JBLU,2021-04-27,2021-03,-1.68,-1.48,0.2,11.9
ROK,2021-04-28,2021-03,2.15,2.41,0.26,12.09
JNJ,2021-04-20,2021-03,2.31,2.59,0.28,12.12
PM,2021-04-20,2021-03,1.4,1.57,0.17,12.14
CDNS,2021-04-26,2021-03,0.74,0.83,0.09,12.16
PWR,2021-05-06,2021-03,0.74,0.83,0.09,12.16
ATO,2021-05-05,2021-03,2.05,2.3,0.25,12.2
NVDA,2021-05-26,2021-04,0.82,0.92,0.1,12.2
MA,2021-04-29,2021-03,1.55,1.74,0.19,12.26
QRVO,2021-05-05,2021-03,2.44,2.74,0.3,12.3
EOG,2021-05-06,2021-03,1.44,1.62,0.18,12.5
SJM,2021-06-03,2021-04,1.68,1.89,0.21,12.5
REGN,2021-05-06,2021-03,8.79,9.89,1.1,12.51
ADBE,2021-03-23,2021-02,2.79,3.14,0.35,12.54
NTRS,2021-04-20,2021-03,1.51,1.7,0.19,12.58
NDAQ,2021-04-21,2021-03,1.74,1.96,0.22,12.64
ABMD,2021-04-29,2021-03,1.1,1.24,0.14,12.73
NTNX,2021-05-26,2021-04,-0.47,-0.41,0.06,12.77
CNXC,2021-03-24,2021-02,2.03,2.29,0.26,12.81
CFX,2021-04-29,2021-03,0.39,0.44,0.05,12.82
PPD,2021-04-27,2021-03,0.31,0.35,0.04,12.9
DTE,2021-04-27,2021-03,2.16,2.44,0.28,12.96
CDW,2021-05-05,2021-03,1.54,1.74,0.2,12.99
SIX,2021-04-28,2021-03,-1.29,-1.12,0.17,13.18
LYV,2021-05-06,2021-03,-1.66,-1.44,0.22,13.25
ZBH,2021-05-04,2021-03,1.51,1.71,0.2,13.25
PEG,2021-05-05,2021-03,1.13,1.28,0.15,13.27
PFG,2021-04-27,2021-03,1.35,1.53,0.18,13.33
NOW,2021-04-28,2021-03,1.34,1.52,0.18,13.43
UHS,2021-04-26,2021-03,2.15,2.44,0.29,13.49
CHNG,2021-05-26,2021-03,0.37,0.42,0.05,13.51
TRU,2021-04-27,2021-03,0.8,0.91,0.11,13.75
QCOM,2021-04-28,2021-03,1.67,1.9,0.23,13.77
DCI,2021-06-02,2021-04,0.58,0.66,0.08,13.79
MOS,2021-05-03,2021-03,0.5,0.57,0.07,14
LRCX,2021-04-21,2021-03,6.56,7.49,0.93,14.18
OLN,2021-04-27,2021-03,1.34,1.53,0.19,14.18
AZO,2021-03-02,2021-02,13.07,14.93,1.86,14.23
DLTR,2021-05-27,2021-04,1.4,1.6,0.2,14.29
TFSL,2021-04-29,2021-03,0.07,0.08,0.01,14.29
TWTR,2021-04-29,2021-03,0.14,0.16,0.02,14.29
SBNY,2021-04-21,2021-03,2.83,3.24,0.41,14.49
AMP,2021-04-26,2021-03,4.73,5.43,0.7,14.8
EW,2021-04-20,2021-03,0.47,0.54,0.07,14.89
CE,2021-04-22,2021-03,3.01,3.46,0.45,14.95
DHI,2021-04-22,2021-03,2.2,2.53,0.33,15
TKR,2021-04-28,2021-03,1.2,1.38,0.18,15
AEE,2021-05-10,2021-03,0.79,0.91,0.12,15.19
ETN,2021-05-04,2021-03,1.25,1.44,0.19,15.2
MTB,2021-04-19,2021-03,2.96,3.41,0.45,15.2
SO,2021-04-29,2021-03,0.85,0.98,0.13,15.29
SYF,2021-04-27,2021-03,1.5,1.73,0.23,15.33
